show_id,date,artist_name,venue,city,state,country,tour_name,setlist,rating,reviews,venue_id,permalink
1708468023,2024-02-20,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,Not Part of a Tour,"1: Jam, Mountains in the Mist, My Soul",,,1481,https://phish.net/setlists/phish-february-20-2024-moon-palace-cancun-quintana-roo-mexico.html
1684286323,2024-02-21,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2024 Mexico,"1: Back on the Train, The Moma Dance, Down with Disease, If I Could, Everything's Right, Halfway to the Moon, Stash, Alaska, Destiny Unbound, Ocelot, Julius, Sand, Life Saving Gun | e: The Mango Song, Carini",,,1481,https://phish.net/setlists/phish-february-21-2024-moon-palace-cancun-quintana-roo-mexico.html
1684286358,2024-02-22,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2024 Mexico,"1: First Tube, Free, Roggae, Driver, Hey Stranger, Gumbo, My Soul, Birds of a Feather, Axilla (Part II) | 2: A Song I Heard the Ocean Sing, A Wave of Hope, Oblivion, Tweezer, Tube, Runaway Jim, Tube | e: Bug, Tweezer Reprise",,,1481,https://phish.net/setlists/phish-february-22-2024-moon-palace-cancun-quintana-roo-mexico.html
1684286408,2024-02-23,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2024 Mexico,"1: Set Your Soul Free, Ghost, Fast Enough for You, Evolve, Mull, 46 Days, Kill Devil Falls, Wading in the Velvet Sea, Sigma Oasis | 2: Blaze On, Chalk Dust Torture, Beneath a Sea of Stars Part 1, Backwards Down the Number Line, Harry Hood | e: When the Circus Comes, Character Zero",,,1481,https://phish.net/setlists/phish-february-23-2024-moon-palace-cancun-quintana-roo-mexico.html
1684286440,2024-02-24,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2024 Mexico,"1: Simple, Sanity, Chalk Dust Torture Reprise, Wolfman's Brother, Mercy, Rift, Bathtub Gin, Cavern | 2: The Howling, No Men In No Man's Land, Ruby Waves, Golden Age, Ruby Waves, Ether Edge, Twist, A Life Beyond The Dream, Possum | e: More, Also Sprach Zarathustra, Slave to the Traffic Light",,,1481,https://phish.net/setlists/phish-february-24-2024-moon-palace-cancun-quintana-roo-mexico.html
1701353198,2024-04-18,Phish,Sphere,Las Vegas,NV,USA,2024 Sphere,"1: Everything's Right, Back on the Train, Wolfman's Brother, Maze, Leaves, Life Saving Gun, Dirt, Carini | 2: Sand, Tweezer, My Friend, My Friend, Mike's Song, Lifeboy, Weekapaug Groove, Blaze On, Fluffhead | e: Farmhouse, Run Like an Antelope",,,1597,https://phish.net/setlists/phish-april-18-2024-sphere-las-vegas-nv-usa.html
1701353225,2024-04-19,Phish,Sphere,Las Vegas,NV,USA,2024 Sphere,"1: Free, The Moma Dance, Axilla (Part II), Mercy, Bathtub Gin, Theme From the Bottom, Split Open and Melt | 2: A Wave of Hope, What's the Use?, Ruby Waves, Lonely Trip, A Song I Heard the Ocean Sing, Prince Caspian, You Enjoy Myself | e: Wading in the Velvet Sea, Harry Hood",,,1597,https://phish.net/setlists/phish-april-19-2024-sphere-las-vegas-nv-usa.html
1701353427,2024-04-20,Phish,Sphere,Las Vegas,NV,USA,2024 Sphere,"1: Set Your Soul Free, Tube, Stash, Pillow Jets, Steam, Mountains in the Mist, Taste, 46 Days | 2: Sigma Oasis, Fuego, Golden Age, Twist, I Am Hydrogen, Chalk Dust Torture, Say It To Me S.A.N.T.O.S. | e: A Life Beyond The Dream, Tweezer Reprise",,,1597,https://phish.net/setlists/phish-april-20-2024-sphere-las-vegas-nv-usa.html
1701353487,2024-04-21,Phish,Sphere,Las Vegas,NV,USA,2024 Sphere,"1: Plasma, Evolve, Ghost, Divided Sky, Shade, Hey Stranger, Character Zero | 2: Oblivion, Down with Disease, Beneath a Sea of Stars Part 1, Also Sprach Zarathustra, Light, Ether Edge, Piper, First Tube | e: More, Slave to the Traffic Light",,,1597,https://phish.net/setlists/phish-april-21-2024-sphere-las-vegas-nv-usa.html
1720403683,2024-07-11,Phish,"NBC Television Studios, Studio 6B",New York,NY,USA,Not Part of a Tour,1: Evolve,,,770,https://phish.net/setlists/phish-july-11-2024-nbc-television-studios-studio-6b-new-york-ny-usa.html
